year,month,role,name,inside_personal,npw,npe,loss_ratio,expense_ratio,combined_ratio
2015,6,direct,Direct,,628.4,629.8,78.5,20.0,98.5
2015,6,personal_total,Total,,1335.2,1331.7,76.6,19.7,96.3
2015,6,commercial,Business,,177.2,153.2,65.9,21.5,87.4
2015,6,property,Business,,89.6,67.6,65.8,26.4,92.22
2015,6,companywide,Total,,1602.0,1552.5,75.1,20.1,95.2
2015,7,agency,Agency,,897.5,877.0,72.8,19.7,92.5
2015,7,direct,Direct,,831.8,789.7,74.6,20.0,94.6
2015,7,personal_total,Total,,1729.3,1666.7,73.7,19.8,93.5
2015,7,commercial,Business,,207.4,193.8,63.5,20.8,84.3
2015,7,property,Business,,74.8,68.4,74.9,32.52,107.42
2015,7,companywide,Total,,2011.5,1928.9,72.7,20.4,93.1
2015,8,agency,Agency,,729.1,702.3,71.8,20.1,91.9
2015,8,direct,Direct,,699.3,636.8,73.5,21.0,94.5
2015,8,personal_total,Total,,1428.4,1339.1,72.6,20.5,93.1
2015,8,commercial,Business,,172.1,157.8,65.0,21.7,86.7
2015,8,property,Business,,77.6,69.0,53.5,31.42,84.92
2015,8,companywide,Total,,1678.1,1565.9,71.0,21.1,92.1
2015,9,agency,Agency,,755.6,705.3,73.7,19.6,93.3
2015,9,direct,Direct,,721.8,643.0,75.9,20.5,96.4
2015,9,personal_total,Total,,1477.4,1348.3,74.8,20.0,94.8
2015,9,commercial,Business,,174.4,159.7,61.8,21.7,83.5
2015,9,property,Business,,71.2,67.8,48.9,33.62,82.52
2015,9,companywide,Total,,1723.0,1575.8,72.3,20.8,93.1
2015,10,agency,Agency,,868.3,882.9,74.6,19.9,94.5
2015,10,direct,Direct,,791.3,811.7,75.8,20.4,96.2
2015,10,personal_total,Total,,1659.6,1694.6,75.2,20.1,95.3
2015,10,commercial,Business,,219.5,202.4,60.9,22.5,83.4
2015,10,property,Business,,66.9,68.8,59.8,32.22,92.02
2015,10,companywide,Total,,1946.0,1965.8,73.2,20.8,94.0
2015,11,agency,Agency,,662.9,709.5,73.1,19.5,92.6
2015,11,direct,Direct,,622.5,656.1,76.3,18.6,94.9
2015,11,personal_total,Total,,1285.4,1365.6,74.6,19.1,93.7
2015,11,commercial,Business,,153.4,163.7,59.6,20.8,80.4
2015,11,property,Business,,61.3,67.3,76.1,34.92,111.02
2015,11,companywide,Total,,1500.1,1596.6,73.2,19.9,93.1
2015,12,agency,Agency,,614.9,710.7,69.6,19.7,89.3
2015,12,direct,Direct,,577.8,661.4,73.4,18.7,92.1
2015,12,personal_total,Total,,1192.7,1372.1,71.4,19.2,90.6
2015,12,commercial,Business,,134.6,162.8,70.3,21.6,91.9
2015,12,property,Business,,65.1,69.1,1.03,34.13,35.13
2015,12,companywide,Total,,1392.4,1604.0,68.2,20.2,88.4
2016,1,agency,Agency,,872.3,891.1,72.8,19.5,92.3
2016,1,direct,Direct,,869.4,834.6,75.8,20.8,96.6
2016,1,personal_total,Total,,1741.7,1725.7,74.3,20.1,94.4
2016,1,commercial,Business,,234.8,206.9,62.2,22.0,84.2
2016,1,property,Business,,49.3,68.5,51.2,34.72,85.92
2016,1,companywide,Total,,2025.8,2001.1,72.3,20.8,93.1
2016,2,agency,Agency,,830.2,722.9,71.7,19.0,90.7
2016,2,direct,Direct,,847.3,684.9,74.7,21.5,96.2
2016,2,personal_total,Total,,1677.5,1407.8,73.2,20.2,93.4
2016,2,commercial,Business,,203.0,168.8,67.1,21.9,89.0
2016,2,property,Business,,53.0,63.5,71.1,34.12,105.22
2016,2,companywide,Total,,1933.5,1640.1,72.5,20.9,93.4
2016,3,agency,Agency,,793.1,733.9,75.2,19.9,95.1
2016,3,direct,Direct,,773.5,701.2,75.5,20.9,96.4
2016,3,personal_total,Total,,1566.6,1435.1,75.4,20.4,95.8
2016,3,commercial,Business,,223.7,173.1,70.5,23.7,94.2
2016,3,property,Business,,68.8,68.0,111.3,34.12,145.42
2016,3,companywide,Total,,1859.1,1676.2,76.3,21.3,97.6
2016,4,agency,Agency,,1019.1,927.1,76.9,19.3,96.2
2016,4,direct,Direct,,945.7,890.4,78.8,19.4,98.2
2016,4,personal_total,Total,,1964.8,1817.5,77.9,19.3,97.2
2016,4,commercial,Business,,293.4,222.5,68.7,22.2,90.9
2016,4,property,Business,,67.5,65.4,122.2,35.93,158.13
2016,4,companywide,Total,,2325.7,2105.4,78.3,20.1,98.4
2016,5,agency,Agency,,752.3,744.7,77.4,20.0,97.4
2016,5,direct,Direct,,705.2,718.9,77.1,19.5,96.6
2016,5,personal_total,Total,,1457.5,1463.6,77.2,19.8,97.0
2016,5,commercial,Business,,214.5,183.4,68.5,22.1,90.6
2016,5,property,Business,,76.3,67.6,49.7,32.63,82.33
2016,5,companywide,Total,,1748.3,1714.6,75.3,20.5,95.8
2016,6,agency,Agency,,771.1,751.5,75.9,20.1,96.0
2016,6,direct,Direct,,714.7,725.5,75.9,19.5,95.4
2016,6,personal_total,Total,,1485.8,1477.0,75.9,19.8,95.7
2016,6,commercial,Business,,216.2,187.5,78.8,24.5,103.3
2016,6,property,Business,,158.62,77.3,46.9,37.03,83.93
2016,6,companywide,Total,,1860.6,1741.8,74.9,21.1,96.0
2016,7,agency,Agency,,977.9,944.8,76.8,19.3,96.1
2016,7,direct,Direct,,968.1,912.9,78.3,18.3,96.6
2016,7,personal_total,Total,,1946.0,1857.7,77.6,18.8,96.4
2016,7,commercial,Business,,250.2,238.1,77.0,21.7,98.7
2016,7,property,Business,,80.2,76.7,82.3,32.72,115.02
2016,7,companywide,Total,,2276.4,2172.5,77.7,19.6,97.3
2016,8,agency,Agency,,809.5,761.5,77.0,19.9,96.9
2016,8,direct,Direct,,802.3,736.0,79.0,18.7,97.7
2016,8,personal_total,Total,,1611.8,1497.5,78.0,19.3,97.3
2016,8,commercial,Business,,214.2,194.3,82.8,19.9,102.7
2016,8,property,Business,,84.7,76.1,69.0,29.62,98.62
2016,8,companywide,Total,,1910.7,1767.9,78.1,19.8,97.9
2016,9,agency,Agency,,802.9,768.0,75.4,19.6,95.0
2016,9,direct,Direct,,775.4,742.3,77.1,18.0,95.1
2016,9,personal_total,Total,,1578.3,1510.3,76.2,18.8,95.0
2016,9,commercial,Business,,205.5,197.8,75.3,21.5,96.8
2016,9,property,Business,,78.1,74.9,39.6,32.62,72.22
2016,9,companywide,Total,,1861.9,1783.0,74.6,19.7,94.3
2016,10,agency,Agency,,1004.6,970.7,77.5,19.3,96.8
2016,10,direct,Direct,,931.5,936.3,79.1,15.8,94.9
2016,10,personal_total,Total,,1936.1,1907.0,78.3,17.6,95.9
2016,10,commercial,Business,,248.7,248.9,73.2,20.2,93.4
2016,10,property,Business,,74.4,76.3,107.0,33.42,140.42
2016,10,companywide,Total,,2259.2,2232.2,78.6,18.5,97.1
2016,11,agency,Agency,,751.7,784.8,73.9,20.1,94.0
2016,11,direct,Direct,,707.6,754.6,75.1,16.5,91.6
2016,11,personal_total,Total,,1459.3,1539.4,74.5,18.3,92.8
2016,11,commercial,Business,,155.0,200.8,67.4,20.7,88.1
2016,11,property,Business,,69.0,73.5,24.6,33.22,57.82
2016,11,companywide,Total,,1683.3,1813.7,71.7,19.2,90.9
2016,12,agency,Agency,,722.9,790.7,,20.2,92.3
2016,12,direct,Direct,,671.2,758.9,,17.4,91.6
2016,12,personal_total,Total,,1394.1,1549.6,,18.8,92.0
2016,12,commercial,Business,,139.1,199.2,,20.8,90.9
2016,12,property,Business,,75.8,76.7,,27.63,21.723
2016,12,companywide,Total,,1609.0,1825.5,,19.4,88.9
2017,1,agency,Agency,,966.5,996.3,69.9,19.6,89.5
2017,1,direct,Direct,,979.0,956.9,71.3,20.3,91.6
2017,1,personal_total,Total,,1945.5,1953.2,70.7,19.9,90.6
2017,1,commercial,Business,,235.1,248.7,61.0,21.2,82.2
2017,1,property,Business,,61.3,77.2,50.02,42.13,92.13
2017,1,companywide,Total,,2241.9,2279.1,68.9,20.8,89.7
2017,2,agency,Agency,,961.2,809.4,69.5,19.5,89.0
2017,2,direct,Direct,,968.9,777.4,72.4,19.7,92.1
2017,2,personal_total,Total,,1930.1,1586.8,70.9,19.6,90.5
2017,2,commercial,Business,,202.0,197.7,71.8,22.1,93.9
2017,2,property,Business,,69.2,70.3,41.9,35.92,77.82
2017,2,companywide,Total,,2201.3,1854.8,69.9,20.5,90.4
2017,3,agency,Agency,,893.0,825.8,72.9,20.3,93.2
2017,3,direct,Direct,,844.7,789.4,74.3,21.4,95.7
2017,3,personal_total,Total,,1737.7,1615.2,73.6,20.8,94.4
2017,3,commercial,Business,,223.8,199.1,71.4,23.0,94.4
2017,3,property,Business,,86.3,78.5,84.1,33.62,117.72
2017,3,companywide,Total,,2047.8,1892.8,73.8,21.6,95.4
2017,4,agency,Agency,,1178.0,1048.4,67.6,19.2,86.8
2017,4,direct,Direct,,1087.4,1010.0,70.6,18.7,89.3
2017,4,personal_total,Total,,2265.4,2058.4,69.1,18.9,88.0
2017,4,commercial,Business,,350.0,251.8,69.5,22.5,92.0
2017,4,property,Business,,88.6,78.1,68.3,33.02,101.32
2017,4,companywide,Total,,2704.0,2388.3,69.1,19.8,88.9
2017,5,agency,Agency,,864.9,848.0,75.6,19.5,95.1
2017,5,direct,Direct,,798.8,817.2,79.4,18.6,98.0
2017,5,personal_total,Total,,1663.7,1665.2,77.5,19.0,96.5
2017,5,commercial,Business,,252.2,207.7,72.5,21.9,94.4
2017,5,property,Business,,97.3,80.9,61.7,36.62,98.32
2017,5,companywide,Total,,2013.2,1953.8,76.3,20.1,96.4
2017,6,agency,Agency,,873.5,856.1,77.2,19.9,97.1
2017,6,direct,Direct,,795.5,822.8,75.9,19.4,95.3
2017,6,personal_total,Total,,1669.0,1678.9,76.5,19.7,96.2
2017,6,commercial,Business,,254.9,212.2,66.3,22.2,88.5
2017,6,property,Business,,105.0,80.1,61.0,34.93,95.93
2017,6,companywide,Total,,2028.9,1971.2,74.8,20.5,95.3
2017,7,agency,Agency,,1155.5,1080.6,70.5,19.6,90.1
2017,7,direct,Direct,,1146.4,1040.5,69.7,19.1,88.8
2017,7,personal_total,Total,,2301.9,2121.1,70.1,19.4,89.5
2017,7,commercial,Business,,310.0,270.2,70.0,21.5,91.5
2017,7,property,Business,,96.8,84.5,67.02,33.62,100.62
2017,7,companywide,Total,,2708.7,2475.8,70.0,20.1,90.1
2017,8,agency,Agency,,934.4,873.8,86.0,19.1,105.1
2017,8,direct,Direct,,917.0,840.7,81.6,19.6,101.2
2017,8,personal_total,Total,,1851.4,1714.5,83.9,19.3,103.2
2017,8,commercial,Business,,255.2,219.6,79.6,21.2,100.8
2017,8,property,Business,,105.2,85.5,88.82,34.62,123.42
2017,8,companywide,Total,,2211.8,2019.6,83.6,20.2,103.8
2017,9,agency,Agency,,938.9,885.6,80.1,19.0,99.1
2017,9,direct,Direct,,923.8,853.6,77.1,20.3,97.4
2017,9,personal_total,Total,,1862.7,1739.2,78.6,19.7,98.3
2017,9,commercial,Business,,260.5,224.2,67.7,22.6,90.3
2017,9,property,Business,,98.7,85.2,129.02,27.92,156.92
2017,9,companywide,Total,,2221.9,2048.6,79.6,20.3,99.9
2017,10,agency,Agency,,1188.5,1123.7,70.4,18.9,89.3
2017,10,direct,Direct,,1125.0,1086.2,72.7,19.7,92.4
2017,10,personal_total,Total,,2313.5,2209.9,71.5,19.3,90.8
2017,10,commercial,Business,,348.8,288.8,77.5,21.6,99.1
2017,10,property,Business,,95.9,89.0,76.42,36.02,112.42
2017,10,companywide,Total,,2758.2,2587.7,72.4,20.1,92.5
2017,11,agency,Agency,,875.5,909.7,69.6,20.0,89.6
2017,11,direct,Direct,,840.4,881.1,72.6,19.7,92.3
2017,11,personal_total,Total,,1715.9,1790.8,71.1,19.8,90.9
2017,11,commercial,Business,,215.6,235.1,69.6,22.1,91.7
2017,11,property,Business,,90.6,87.6,57.42,31.12,88.52
2017,11,companywide,Total,,2022.1,2113.5,70.3,20.6,90.9
2017,12,agency,Agency,,855.5,920.2,69.8,19.3,89.1
2017,12,direct,Direct,,816.1,893.8,74.1,18.5,92.6
2017,12,personal_total,Total,,1671.6,1814.0,71.9,18.9,90.8
2017,12,commercial,Business,,204.6,238.8,67.4,21.9,89.3
2017,12,property,Business,,96.1,91.9,58.22,33.02,91.22
2017,12,companywide,Total,,1972.3,2144.7,70.9,19.8,90.7
2018,1,agency,Agency,,1144.1,1158.1,67.2,18.9,86.1
2018,1,direct,Direct,,1190.6,1133.8,69.2,20.9,90.1
2018,1,personal_total,Total,,2334.7,2291.9,68.2,19.9,88.1
2018,1,commercial,Business,,312.9,301.0,59.1,20.6,79.7
2018,1,property,Business,,81.6,96.7,59.51,35.01,94.51
2018,1,companywide,Total,,2729.2,2689.6,66.9,20.5,87.4
2018,2,agency,Agency,,1121.3,942.1,67.4,19.2,86.6
2018,2,direct,Direct,,1155.2,927.7,69.6,19.9,89.5
2018,2,personal_total,Total,,2276.5,1869.8,68.5,19.5,88.0
2018,2,commercial,Business,,328.2,246.3,68.9,21.5,90.4
2018,2,property,Business,,96.2,88.6,37.3,38.11,75.41
2018,2,companywide,Total,,2700.9,2204.7,67.3,20.5,87.8
2018,3,agency,Agency,,1069.9,963.6,68.1,19.2,87.3
2018,3,direct,Direct,,1063.7,954.8,70.1,20.7,90.8
2018,3,personal_total,Total,,2133.6,1918.4,69.0,20.0,89.0
2018,3,commercial,Business,,285.8,261.3,75.3,20.8,96.1
2018,3,property,Business,,119.3,100.0,66.7,31.91,98.61
2018,3,companywide,Total,,2538.7,2279.7,69.7,20.6,90.3
2018,4,agency,Agency,,1368.9,1227.8,69.3,19.0,88.3
2018,4,direct,Direct,,1311.5,1220.0,70.4,20.0,90.4
2018,4,personal_total,Total,,2680.4,2447.8,69.8,19.5,89.3
2018,4,commercial,Business,,425.5,334.7,67.0,19.9,86.9
2018,4,property,Business,,121.0,100.4,75.6,37.11,112.71
2018,4,companywide,Total,,3226.9,2882.9,69.7,20.2,89.9
2018,5,agency,Agency,,1002.2,994.1,67.8,19.7,87.5
2018,5,direct,Direct,,971.3,989.3,69.9,20.5,90.4
2018,5,personal_total,Total,,1973.5,1983.4,68.8,20.1,88.9
2018,5,commercial,Business,,306.4,271.3,67.2,19.9,87.1
2018,5,property,Business,,132.9,104.9,83.6,40.61,124.21
2018,5,companywide,Total,,2412.8,2359.6,69.3,21.0,90.3
